Institution,Card Name,FYF,AF,WB Pts,Reward Program,Rebate,AF/Rebate,MSR,Spend Pts,cpp,% Return,$ Return
Scotiabank,Momentum Visa Infinite,True,120.0,200,Cash Back,100,100.0,2000,2000,1.0,15.00%,$300.00
Scotiabank,Passport Visa Infinite,False,150.0,35000,Scene,125,-25.0,1000,1000,0.01,33.50%,$335.00
Scotiabank,Platinum Amex,False,399.0,60000,Scene,175,-224.0,10000,10000,0.01,4.76%,$476.00
Scotiabank,Scene Visa,False,0.0,5000,Scene,50,50.0,750,750,0.01,14.33%,$107.50
Scotiabank,Value Visa,True,29.0,0,None,0,0.0,0,0,0.0,0.00%,$0.00
Simplii,Financial Cash Back Visa,False,0.0,50,Cash Back,0,0.0,500,500,1.0,10.00%,$50.00
Tangerine,Money-Back,False,0.0,100,Cash Back,100,100.0,1000,1000,1.0,20.00%,$200.00
Tangerine,World,False,0.0,100,Cash Back,100,100.0,1000,1000,1.0,20.00%,$200.00
TD,Aeroplan Visa Business,True,149.0,65000,Aeroplan,0,0.0,30000,30000,0.021,6.65%,"$1,995.00"
TD,Aeroplan Visa Infinite,True,139.0,50000,Aeroplan,0,0.0,7500,7500,0.021,16.10%,"$1,207.50"
TD,Aeroplan Visa Infinite Privilege,False,599.0,100000,Aeroplan,0,-599.0,12000,12000,0.021,14.61%,"$1,753.00"
TD,Aeroplan Visa Platinum,True,89.0,20000,Aeroplan,0,0.0,1000,1000,0.021,44.10%,$441.00
TD,Business Travel Visa,True,149.0,175000,Td Rewards,0,0.0,30000,30000,0.005,3.42%,"$1,025.00"
TD,Cash Back Visa Infinite,True,139.0,350,Cash Back,0,0.0,3500,3500,1.0,10.00%,$350.00
TD,First Class Travel Visa Infinite,True,139.0,115000,Td Rewards,0,0.0,5000,5000,0.005,12.00%,$600.00
TD,Platinum Travel Visa,True,89.0,50000,Td Rewards,0,0.0,1000,1000,0.005,25.50%,$255.00
TD,Rewards Visa,False,0.0,19697,Td Rewards,0,0.0,0,0,0.005,9848.50%,$98.48
RBC,Westjet  Mastercard,False,39.0,100,Westjet Dollars,50,11.0,1000,1000,1.0,11.10%,$111.00
RBC,Westjet  World Elite Mastercard,False,119.0,700,Westjet Dollars,100,-19.0,5000,5000,1.0,13.62%,$681.00
